,Susceptible,Exposed,Infected,Fatalities,Recovered
0,10000000.0,20000.0,1.0,0.0,0.0
1,9998674.398033898,17613.68405810227,3348.0670114675004,10.626725141715015,354.2241713905005
2,9995189.711429162,17607.66284508563,5879.441251176334,38.56847984194438,1285.6159947314793
3,9989955.054482998,19185.258155783074,8094.779070471346,80.56043565270689,2685.347855090229
4,9983086.988750625,21957.1663182336,10298.20398520814,135.6885712406448,4522.952374688159
5,9974518.24018716,25770.109947912915,12690.782446694284,204.5204102397246,6817.347007990818
6,9964054.001792466,30613.606754258264,15422.796119290753,288.658116523783,9621.937217459432
7,9951398.452478107,36570.3841646052,18623.88958559921,390.5322457773415,13017.741525911379
8,9936164.006148143,43791.2975103201,22421.143655572796,513.336485998978,17111.216199965933
9,9917870.176020045,52484.131737956326,26950.664823911833,661.0493422744509,22034.978075815023
10,9895935.833748957,62910.37820636451,32365.8037271524,838.5141063357019,27950.470211190055
11,9869666.959626168,75386.65915198566,38843.732472003925,1051.5625849468474,35052.08616489491
12,9838241.1148158,90288.85004716614,46591.3301005847,1307.1758748480793,43572.52916160263
13,9800689.489146417,108057.64050874316,55850.86772397184,1613.6796879865026,53789.32293288341
14,9755877.324317893,129204.54667954361,66905.69685351942,1980.9737519139394,66032.45839713131
15,9702483.700816298,154317.39311528858,80085.93155926562,2420.7953740529097,80693.17913509697
16,9638982.081196839,184064.09005721653,95773.92446018358,2947.0166296824345,98233.88765608115
17,9563623.629123408,219193.1742325311,114409.12961928736,3575.9728259643202,119199.09419881065
18,9474426.167955654,260529.08946335822,136491.70102162007,4326.8167444476585,144227.2248149219
19,9369172.708987737,308959.5795254559,162583.8762841389,5221.888403961179,174062.94679870596
20,9245424.748136561,365411.895800562,193307.8310578529,6287.083252573484,209569.44175244943
21,9100556.794887956,430813.9639994293,229338.28916470567,7552.192775181721,251739.75917272407
22,8931819.77553428,506036.2977438153,271387.75546485645,9051.179745350877,301705.9915116959
23,8736441.489382382,591810.7377193279,320181.8822227828,10822.336621616576,360744.5540538859
24,8511771.678710075,688623.3841654508,376422.3465525885,12908.259919569347,430275.3306523117
